 schemaname |             tablename             | rowsecurity | policy_count 
------------+-----------------------------------+-------------+--------------
 public     | admin_audit_log                   | t           |            3
 public     | admin_settings                    | t           |            3
 public     | ai_insights_cache                 | t           |            4
 public     | ai_usage_events                   | t           |            2
 public     | ai_usage_logs                     | t           |            5
 public     | ai_usage_quotas                   | t           |            2
 public     | art_file_attachments              | t           |            4
 public     | audit_logs                        | t           |            0
 public     | bot_detection_log                 | t           |            2
 public     | cart_templates                    | t           |            1
 public     | category_icons                    | t           |            4
 public     | collection_item_reactions         | t           |            2
 public     | collection_items                  | t           |            2
 public     | collection_items_trash            | t           |            3
 public     | collections                       | t           |            2
 public     | comparison_reactions              | t           |            2
 public     | component_media                   | t           |            2
 public     | connection_test_history           | t           |            3
 public     | custom_kits                       | t           |            2
 public     | discount_approval_requests        | t           |            4
 public     | e2e_cleanup_audit                 | t           |            1
 public     | e2e_cleanup_rate_limit            | t           |            8
 public     | expert_conversations              | t           |            1
 public     | expert_messages                   | t           |            1
 public     | external_connections              | t           |            1
 public     | external_connections_sync_log     | t           |            1
 public     | favorite_item_reactions           | t           |            5
 public     | favorite_items                    | t           |            3
 public     | favorite_items_trash              | t           |            1
 public     | favorite_lists                    | t           |            3
 public     | file_scan_logs                    | t           |            1
 public     | follow_up_reminders               | t           |            1
 public     | generated_mockups                 | t           |            1
 public     | hardening_health_snapshots        | t           |            1
 public     | inbound_webhook_endpoints         | t           |            1
 public     | inbound_webhook_events            | t           |            2
 public     | integration_credentials           | t           |            4
 public     | ip_access_control                 | t           |            2
 public     | kit_collaborators                 | t           |            4
 public     | kit_comments                      | t           |            4
 public     | kit_share_tokens                  | t           |            1
 public     | kit_templates                     | t           |            4
 public     | kit_variants                      | t           |            4
 public     | login_attempts                    | t           |            3
 public     | magic_up_brand_kits               | t           |            4
 public     | magic_up_campaigns                | t           |            4
 public     | magic_up_comments                 | t           |            4
 public     | magic_up_generations              | t           |            1
 public     | magic_up_public_shares            | t           |            4
 public     | magic_up_reactions                | t           |            4
 public     | mcp_access_violations             | t           |            1
 public     | mcp_api_keys                      | t           |            4
 public     | mcp_full_grantors                 | t           |            2
 public     | mcp_key_auto_revocations          | t           |            1
 public     | mockup_drafts                     | t           |            1
 public     | mockup_prompt_configs             | t           |            1
 public     | mockup_prompt_history             | t           |            2
 public     | mockup_templates                  | t           |            4
 public     | optimization_queue                | t           |            1
 public     | optimization_queue_runs           | t           |            1
 public     | order_items                       | t           |            4
 public     | orders                            | t           |            4
 public     | organization_members              | t           |            4
 public     | organizations                     | t           |            3
 public     | outbound_webhooks                 | t           |            1
 public     | ownership_audit_reports           | t           |            3
 public     | ownership_repair_logs             | t           |            1
 public     | permissions                       | t           |            2
 public     | price_history                     | t           |            1
 public     | product_component_locations       | t           |            2
 public     | product_components                | t           |            2
 public     | product_group_members             | t           |            2
 public     | product_groups                    | t           |            2
 public     | product_price_freshness_overrides | t           |            4
 public     | product_sync_logs                 | t           |            2
 public     | product_views                     | t           |            3
 public     | profiles                          | t           |            4
 public     | public_token_failures             | t           |            2
 public     | query_telemetry                   | t           |            3
 public     | quote_approval_tokens             | t           |            4
 public     | quote_comments                    | t           |            6
 public     | quote_history                     | t           |            1
 public     | quote_item_personalizations       | t           |            4
 public     | quote_items                       | t           |            4
 public     | quote_templates                   | t           |            4
 public     | quotes                            | t           |            4
 public     | request_rate_limits               | t           |            2
 public     | rls_denial_log                    | t           |            5
 public     | role_migration_batches            | t           |            4
 public     | role_migration_items              | t           |            4
 public     | role_permissions                  | t           |            2
 public     | saved_filters                     | t           |            4
 public     | saved_trends_views                | t           |            1
 public     | scheduled_reports                 | t           |            4
 public     | search_analytics                  | t           |            2
 public     | secret_rotation_log               | t           |            2
 public     | seller_cart_items                 | t           |            1
 public     | seller_carts                      | t           |            1
 public     | seller_discount_limits            | t           |            2
 public     | simulator_wizard_drafts           | t           |            4
 public     | step_up_audit_log                 | t           |            2
 public     | step_up_challenges                | t           |            1
 public     | step_up_tokens                    | t           |            1
 public     | system_settings                   | t           |            1
 public     | user_comparisons                  | t           |            5
 public     | user_onboarding                   | t           |            4
 public     | user_preferences                  | t           |            3
 public     | user_roles                        | t           |            6
 public     | user_token_revocations            | t           |            2
 public     | video_variant_links               | t           |            2
 public     | voice_command_logs                | t           |            3
 public     | webhook_deliveries                | t           |            2
 public     | webhook_delivery_metrics          | t           |            8
 public     | workspace_notifications           | t           |            4
(114 rows)

